SITE;ARTIKEL;ZALOGA
1540;192239;25
1540;653159;16
1540;263411;1
1540;660729;31
1540;468672;13
1540;517820;12
1540;465665;1
1540;673128;19
1540;511397;38
1540;281429;-74
1540;468708;10
1540;468654;17
1540;322538;12
1540;666629;1
1540;511471;97
1540;459171;9
1540;118468;2
1540;130295;39
1540;145775;18
1540;674925;24
1540;342975;5
1540;639603;3
1540;610075;2
1540;478935;15
1540;623315;168
1540;653169;9
1540;470410;0
1540;652934;12
1540;340702;4
1540;638075;10
1540;652954;7
1540;264336;-1
1540;524633;13
1540;582585;10
1540;516854;6
1540;298979;32
1540;447363;2
1540;125809;36
1540;125677;25
1540;499296;19
1540;239007;34
1540;321425;28
1540;283096;3
1540;470419;1
1540;650781;0
1540;625693;8
1540;241286;3
1540;468699;10
1540;470674;51
1540;604555;11
1540;125872;16
1540;625688;16
1540;683853;4
1540;478391;4
1540;621660;21
1540;418224;144
1540;465559;4
1540;642355;0
1540;422620;9
1540;342784;-1
1540;296251;64
1540;668447;9
1540;679235;7
1540;510514;14
1540;292796;0
1540;470237;1
1540;605775;20
1540;125205;8
1540;605755;12
1540;705519;12
1540;415746;8
1540;625738;9
1540;625718;47
1540;439908;3
1540;511480;33
1540;125791;6
1540;686689;0
1540;219565;0
1540;418197;14
1540;447336;-3
1540;411226;4
1540;240805;6
1540;335485;-5
1540;623295;163
1540;418342;0
1540;625708;7
1540;321416;33
1540;192257;18
1540;210057;1
1540;669049;9
1540;703309;6
1540;167203;10
1540;401524;14
1540;653119;16
1540;605765;4
1540;441238;0
1540;520163;12
1540;605745;2
1540;125881;8
1540;625713;22
1540;335927;10
1540;448626;4
1540;125932;4
1540;673138;-5
1540;499287;21
1540;499305;57
1540;308093;15
1540;485779;0
1540;478921;6
1540;242198;12
1540;192221;13
1540;176563;4
1540;705539;4
1540;447345;0
1540;499260;55
1540;411219;9
1540;459078;27
1540;674915;38
1540;653129;7
1540;499000;17
1540;402410;8
1540;679181;6
1540;253270;7
1540;511421;71
1540;623305;140
1540;462826;33
1540;132653;55
1540;208481;7
1540;335918;16
1540;118705;4
1540;478400;29
1540;98736;84
1540;468793;17
1540;683295;5
1540;511436;34
1540;523792;6
1540;238847;-3
1540;468717;10
1540;518009;8
1540;322502;8
1540;652944;8
1540;580975;6
1540;625683;21
1540;678501;0
1540;477162;42
1540;668427;6
1540;668417;-3
1540;625698;5
1540;625678;13
1540;637251;25
1540;112993;9
1540;264345;44
1540;188837;0
